Family Type,Adult(s),Infant(s),Preshooler(s),Schoolager(s),Teenager(s),State ,Year,All Families Table #,County,Housing Costs,Child Care Costs,Food Costs ,Transportation Costs,Health Care Costs ,Miscellaneous costs,Taxes,Earned Income Tax Credit (-),Child Care Tax Credit (-),Child Tax Credit (-),Hourly Self-Sufficiency Wage                           ,Monthly Self-Sufficiency Wage                           ,Annual Self-Sufficiency Wage                           ,Emergency Savings
a2i1p0s1t0,2,1,0,1,0,VA,2021,26,Chesterfield County,1265.53,1641.66,843.29,576.13,763.76,509.04,1267.08,0,-100,-333.33,18.28,6433.15,77197.76,88.61
a2i1p0s0t1,2,1,0,0,1,VA,2021,26,Chesterfield County,1265.53,1098.45,867.23,576.13,784.19,459.15,1077.28,0,-100,-333.33,16.18,5694.64,68335.65,80.61
a2i0p2s0t0,2,0,2,0,0,VA,2021,26,Chesterfield County,1265.53,2026.06,777.54,576.13,730.19,537.55,1373.81,0,-100,-333.33,19.47,6853.47,82241.69,93.16
a2i0p1s1t0,2,0,1,1,0,VA,2021,26,Chesterfield County,1265.53,1556.23,849.93,576.13,752.37,500.02,1232.85,0,-100,-333.33,17.9,6299.73,75596.73,87.17
a2i0p1s0t1,2,0,1,0,1,VA,2021,26,Chesterfield County,1265.53,1013.03,873.86,576.13,772.81,450.14,1043.05,0,-100,-333.33,15.8,5561.22,66734.62,79.17
a2i0p0s2t0,2,0,0,2,0,VA,2021,26,Chesterfield County,1265.53,1086.4,922.31,576.13,774.56,462.49,1091.88,0,-100,-333.33,16.32,5745.98,68951.76,81.17
a2i0p0s1t1,2,0,0,1,1,VA,2021,26,Chesterfield County,1265.53,543.2,946.25,576.13,794.99,412.61,902.08,0,-100,-333.33,14.23,5007.47,60089.66,73.18
a2i0p0s0t2,2,0,0,0,2,VA,2021,26,Chesterfield County,1265.53,0,970.19,567.68,815.43,361.88,794.22,-12.58,0,-333.33,12.58,4429.03,53148.35,64.04
a2i3p0s0t0,2,3,0,0,0,VA,2021,26,Chesterfield County,1673.58,3295.36,861.95,576.13,782.49,718.95,2079.79,0,-100,-500,26.67,9388.25,112658.97,142.28
a2i2p1s0t0,2,2,1,0,0,VA,2021,26,Chesterfield County,1673.58,3209.94,868.25,576.13,771.11,709.9,2024.69,0,-100,-500,26.23,9233.59,110803.13,140.75
a2i2p0s1t0,2,2,0,1,0,VA,2021,26,Chesterfield County,1673.58,2740.11,937.02,576.13,793.29,672.01,1830.24,0,-100,-500,24.5,8622.38,103468.59,134.1
a2i2p0s0t1,2,2,0,0,1,VA,2021,26,Chesterfield County,1673.58,2196.91,959.76,576.13,813.73,622.01,1639.94,0,-100,-500,22.39,7882.06,94584.72,108.11
a2i1p2s0t0,2,1,2,0,0,VA,2021,26,Chesterfield County,1673.58,3124.51,874.56,576.13,759.73,700.85,1969.58,0,-100,-500,25.79,9078.94,108947.29,139.21
a2i1p1s1t0,2,1,1,1,0,VA,2021,26,Chesterfield County,1673.58,2654.68,943.33,576.13,781.91,662.96,1795.87,0,-100,-500,24.11,8488.46,101861.53,132.43
a2i1p1s0t1,2,1,1,0,1,VA,2021,26,Chesterfield County,1673.58,2111.48,966.07,576.13,802.35,612.96,1605.57,0,-100,-500,22.01,7748.14,92977.65,106.66
a2i1p0s2t0,2,1,0,2,0,VA,2021,26,Chesterfield County,1673.58,2184.86,1012.09,576.13,804.09,625.08,1653.4,0,-100,-500,22.53,7929.23,95150.74,112.52
a2i1p0s1t1,2,1,0,1,1,VA,2021,26,Chesterfield County,1673.58,1641.66,1034.83,576.13,824.53,575.07,1463.1,0,-100,-500,20.42,7188.91,86266.86,100.61
a2i1p0s0t2,2,1,0,0,2,VA,2021,26,Chesterfield County,1673.58,1098.45,1057.57,576.13,844.97,525.07,1272.81,0,-100,-500,18.32,6448.58,77382.99,92.59
a2i0p3s0t0,2,0,3,0,0,VA,2021,26,Chesterfield County,1673.58,3039.08,880.87,576.13,748.35,691.8,1914.48,0,-100,-500,25.35,8924.29,107091.45,137.68
a2i0p2s1t0,2,0,2,1,0,VA,2021,26,Chesterfield County,1673.58,2569.26,949.63,576.13,770.53,653.91,1761.5,0,-100,-500,23.73,8354.54,100254.46,130.76
a2i0p2s0t1,2,0,2,0,1,VA,2021,26,Chesterfield County,1673.58,2026.06,972.37,576.13,790.97,603.91,1571.2,0,-100,-500,21.63,7614.22,91370.59,105.21
a2i0p1s2t0,2,0,1,2,0,VA,2021,26,Chesterfield County,1673.58,2099.43,1018.4,576.13,792.71,616.02,1619.03,0,-100,-500,22.15,7795.31,93543.67,107.17
a2i0p1s1t1,2,0,1,1,1,VA,2021,26,Chesterfield County,1673.58,1556.23,1041.14,576.13,813.15,566.02,1428.73,0,-100,-500,20.04,7054.98,84659.8,99.16
a2i0p1s0t2,2,0,1,0,2,VA,2021,26,Chesterfield County,1673.58,1013.03,1063.88,576.13,833.59,516.02,1238.44,0,-100,-500,17.94,6314.66,75775.92,91.14
a2i0p0s3t0,2,0,0,3,0,VA,2021,26,Chesterfield County,1673.58,1629.6,1087.17,576.13,814.89,578.14,1476.57,0,-100,-500,20.56,7236.07,86832.88,101.12
a2i0p0s2t1,2,0,0,2,1,VA,2021,26,Chesterfield County,1673.58,1086.4,1109.91,576.13,835.33,528.13,1286.27,0,-100,-500,18.45,6495.75,77949.01,93.11
a2i0p0s1t2,2,0,0,1,2,VA,2021,26,Chesterfield County,1673.58,543.2,1132.65,576.13,855.77,478.13,1095.97,0,-100,-500,16.35,5755.43,69065.13,85.09
a2i0p0s0t3,2,0,0,0,3,VA,2021,26,Chesterfield County,1673.58,0,1155.39,567.68,876.21,427.29,975.03,0,0,-500,14.7,5175.17,62102.06,75.94
a2i4p0s0t0,2,4,0,0,0,VA,2021,26,Chesterfield County,1673.58,4393.82,997.84,576.13,812.02,845.34,2759.72,0,-100,-666.67,32.08,11291.79,135501.48,165.58
a2i3p1s0t0,2,3,1,0,0,VA,2021,26,Chesterfield County,1673.58,4308.39,1004.15,576.13,800.64,836.29,2704.62,0,-100,-666.67,31.64,11137.14,133645.65,164.05
a2i3p0s1t0,2,3,0,1,0,VA,2021,26,Chesterfield County,1673.58,3838.56,1072.92,576.13,822.82,798.4,2475.59,0,-100,-666.67,29.8,10491.34,125896.03,157.64
a2i3p0s0t1,2,3,0,0,1,VA,2021,26,Chesterfield County,1673.58,3295.36,1095.66,576.13,843.26,748.4,2170.69,0,-100,-666.67,27.38,9636.41,115636.95,149.15
a2i2p2s0t0,2,2,2,0,0,VA,2021,26,Chesterfield County,1673.58,4222.97,1010.46,576.13,789.26,827.24,2649.52,0,-100,-666.67,31.2,10982.48,131789.81,162.51
a2i2p1s1t0,2,2,1,1,0,VA,2021,26,Chesterfield County,1673.58,3753.14,1079.22,576.13,811.44,789.35,2420.49,0,-100,-666.67,29.37,10336.68,124040.2,156.1
a2i2p1s0t1,2,2,1,0,1,VA,2021,26,Chesterfield County,1673.58,3209.94,1101.96,576.13,831.88,739.35,2115.59,0,-100,-666.67,26.94,9481.76,113781.11,147.62
a2i2p0s2t0,2,2,0,2,0,VA,2021,26,Chesterfield County,1673.58,3283.31,1147.99,576.13,833.63,751.46,2191.45,0,-100,-666.67,27.53,9690.88,116290.58,149.69
a2i2p0s1t1,2,2,0,1,1,VA,2021,26,Chesterfield County,1673.58,2740.11,1170.73,576.13,854.06,701.46,1887.87,0,-100,-666.67,25.11,8837.28,106047.38,141.2
a2i2p0s0t2,2,2,0,0,2,VA,2021,26,Chesterfield County,1673.58,2196.91,1193.47,576.13,874.5,651.46,1697.58,0,-100,-666.67,23,8096.96,97163.51,131.94
a2i1p3s0t0,2,1,3,0,0,VA,2021,26,Chesterfield County,1673.58,4137.54,1016.76,576.13,777.88,818.19,2594.42,0,-100,-666.67,30.76,10827.83,129933.97,160.98
a2i1p2s1t0,2,1,2,1,0,VA,2021,26,Chesterfield County,1673.58,3667.71,1085.53,576.13,800.06,780.3,2365.38,0,-100,-666.67,28.93,10182.03,122184.36,154.57
a2i1p2s0t1,2,1,2,0,1,VA,2021,26,Chesterfield County,1673.58,3124.51,1108.27,576.13,820.5,730.3,2060.49,0,-100,-666.67,26.5,9327.11,111925.27,146.08
a2i1p1s2t0,2,1,1,2,0,VA,2021,26,Chesterfield County,1673.58,3197.88,1154.3,576.13,822.24,742.41,2136.35,0,-100,-666.67,27.09,9536.23,114434.74,148.16
a2i1p1s1t1,2,1,1,1,1,VA,2021,26,Chesterfield County,1673.58,2654.68,1177.04,576.13,842.68,692.41,1853.5,0,-100,-666.67,24.73,8703.36,104440.32,139.53
a2i1p1s0t2,2,1,1,0,2,VA,2021,26,Chesterfield County,1673.58,2111.48,1199.78,576.13,863.12,642.41,1663.21,0,-100,-666.67,22.62,7963.04,95556.44,130.27
a2i1p0s3t0,2,1,0,3,0,VA,2021,26,Chesterfield County,1673.58,2728.06,1223.06,576.13,844.43,704.53,1907.31,0,-100,-666.67,25.26,8890.43,106685.13,141.75
a2i1p0s2t1,2,1,0,2,1,VA,2021,26,Chesterfield County,1673.58,2184.86,1245.8,576.13,864.86,654.52,1711.04,0,-100,-666.67,23.14,8144.13,97729.53,132.53
a2i1p0s1t2,2,1,0,1,2,VA,2021,26,Chesterfield County,1673.58,1641.66,1268.54,576.13,885.3,604.52,1520.74,0,-100,-666.67,21.03,7403.8,88845.65,106.75
a2i1p0s0t3,2,1,0,0,3,VA,2021,26,Chesterfield County,1673.58,1098.45,1291.28,576.13,905.74,554.52,1330.44,0,-100,-666.67,18.93,6663.48,79961.78,98.74
a2i0p4s0t0,2,0,4,0,0,VA,2021,26,Chesterfield County,1673.58,4052.11,1023.07,576.13,766.5,809.14,2539.32,0,-100,-666.67,30.32,10673.18,128078.13,159.44
a2i0p3s1t0,2,0,3,1,0,VA,2021,26,Chesterfield County,1673.58,3582.29,1091.83,576.13,788.68,771.25,2310.28,0,-100,-666.67,28.49,10027.38,120328.52,153.03
a2i0p3s0t1,2,0,3,0,1,VA,2021,26,Chesterfield County,1673.58,3039.08,1114.57,576.13,809.12,721.25,2005.38,0,-100,-666.67,26.06,9172.45,110069.43,144.55
a2i0p2s2t0,2,0,2,2,0,VA,2021,26,Chesterfield County,1673.58,3112.46,1160.6,576.13,810.86,733.36,2081.25,0,-100,-666.67,26.65,9381.58,112578.91,146.62
a2i0p2s1t1,2,0,2,1,1,VA,2021,26,Chesterfield County,1673.58,2569.26,1183.34,576.13,831.3,683.36,1819.13,0,-100,-666.67,24.35,8569.44,102833.25,137.85
a2i0p2s0t2,2,0,2,0,2,VA,2021,26,Chesterfield County,1673.58,2026.06,1206.08,576.13,851.74,633.36,1628.84,0,-100,-666.67,22.24,7829.11,93949.38,128.6
a2i0p1s3t0,2,0,1,3,0,VA,2021,26,Chesterfield County,1673.58,2642.63,1229.37,576.13,833.04,695.48,1866.97,0,-100,-666.67,24.86,8750.53,105006.33,140.11
a2i0p1s2t1,2,0,1,2,1,VA,2021,26,Chesterfield County,1673.58,2099.43,1252.11,576.13,853.48,645.47,1676.67,0,-100,-666.67,22.76,8010.2,96122.46,130.86
a2i0p1s1t2,2,0,1,1,2,VA,2021,26,Chesterfield County,1673.58,1556.23,1274.85,576.13,873.92,595.47,1486.37,0,-100,-666.67,20.65,7269.88,87238.59,105.3
a2i0p1s0t3,2,0,1,0,3,VA,2021,26,Chesterfield County,1673.58,1013.03,1297.59,576.13,894.36,545.47,1296.07,0,-100,-666.67,18.55,6529.56,78354.71,97.29
a2i0p0s4t0,2,0,0,4,0,VA,2021,26,Chesterfield County,1673.58,2172.8,1298.14,576.13,855.23,657.59,1724.5,0,-100,-666.67,23.27,8191.3,98295.54,133.12
a2i0p0s3t1,2,0,0,3,1,VA,2021,26,Chesterfield County,1673.58,1629.6,1320.88,576.13,875.67,607.59,1534.2,0,-100,-666.67,21.17,7450.97,89411.67,107.26
a2i0p0s2t2,2,0,0,2,2,VA,2021,26,Chesterfield County,1673.58,1086.4,1343.62,576.13,896.1,557.58,1343.9,0,-100,-666.67,19.06,6710.65,80527.8,99.25
a2i0p0s1t3,2,0,0,1,3,VA,2021,26,Chesterfield County,1673.58,543.2,1366.36,576.13,916.54,507.58,1153.6,0,-100,-666.67,16.96,5970.33,71643.92,91.23
a2i0p0s0t4,2,0,0,0,4,VA,2021,26,Chesterfield County,1673.58,0,1389.1,567.68,936.98,456.73,1032.67,0,0,-666.67,15.31,5390.07,64680.85,82.08
a2i5p0s0t0,2,5,0,0,0,VA,2021,26,Chesterfield County,2001.09,5492.27,1074.07,576.13,841.56,998.51,3601.15,0,-100,-833.33,38.78,13651.45,163817.38,200.48
a2i4p1s0t0,2,4,1,0,0,VA,2021,26,Chesterfield County,2001.09,5406.85,1080.04,576.13,830.18,989.43,3545.83,0,-100,-833.33,38.34,13496.21,161954.57,197.89
a2i4p0s1t0,2,4,0,1,0,VA,2021,26,Chesterfield County,2001.09,4937.02,1145.19,576.13,852.36,951.18,3314.44,0,-100,-833.33,36.49,12844.08,154128.94,187.04
a2i4p0s0t1,2,4,0,0,1,VA,2021,26,Chesterfield County,2001.09,4393.82,1166.73,576.13,872.8,901.06,3008.76,0,-100,-833.33,34.05,11987.06,143844.72,176.89
a2i3p2s0t0,2,3,2,0,0,VA,2021,26,Chesterfield County,2001.09,5321.42,1086.02,576.13,818.8,980.35,3490.51,0,-100,-833.33,37.9,13340.98,160091.76,195.31
a2i3p1s1t0,2,3,1,1,0,VA,2021,26,Chesterfield County,2001.09,4851.59,1151.16,576.13,840.98,942.1,3259.12,0,-100,-833.33,36.05,12688.84,152266.13,184.46
a2i3p1s0t1,2,3,1,0,1,VA,2021,26,Chesterfield County,2001.09,4308.39,1172.71,576.13,861.42,891.97,2953.45,0,-100,-833.33,33.61,11831.83,141981.91,175.35
a2i3p0s2t0,2,3,0,2,0,VA,2021,26,Chesterfield County,2001.09,4381.77,1216.31,576.13,863.16,903.85,3027.73,0,-100,-833.33,34.2,12036.71,144440.51,177.39
a2i3p0s1t1,2,3,0,1,1,VA,2021,26,Chesterfield County,2001.09,3838.56,1237.86,576.13,883.6,853.72,2722.06,0,-100,-833.33,31.76,11179.69,134156.28,168.88
a2i3p0s0t2,2,3,0,0,2,VA,2021,26,Chesterfield County,2001.09,3295.36,1259.4,576.13,904.04,803.6,2416.38,0,-100,-833.33,29.33,10322.67,123872.06,160.37
a2i2p3s0t0,2,2,3,0,0,VA,2021,26,Chesterfield County,2001.09,5235.99,1091.99,576.13,807.41,971.26,3435.19,0,-100,-833.33,37.46,13185.75,158228.95,192.73
a2i2p2s1t0,2,2,2,1,0,VA,2021,26,Chesterfield County,2001.09,4766.17,1157.14,576.13,829.6,933.01,3203.81,0,-100,-833.33,35.61,12533.61,150403.33,182.32
a2i2p2s0t1,2,2,2,0,1,VA,2021,26,Chesterfield County,2001.09,4222.97,1178.68,576.13,850.04,882.89,2898.13,0,-100,-833.33,33.17,11676.59,140119.1,173.81
a2i2p1s2t0,2,2,1,2,0,VA,2021,26,Chesterfield County,2001.09,4296.34,1222.29,576.13,851.78,894.76,2972.42,0,-100,-833.33,33.75,11881.47,142577.7,175.85
a2i2p1s1t1,2,2,1,1,1,VA,2021,26,Chesterfield County,2001.09,3753.14,1243.83,576.13,872.22,844.64,2666.74,0,-100,-833.33,31.32,11024.46,132293.47,167.34
a2i2p1s0t2,2,2,1,0,2,VA,2021,26,Chesterfield County,2001.09,3209.94,1265.37,576.13,892.66,794.52,2361.06,0,-100,-833.33,28.88,10167.44,122009.25,158.83
a2i2p0s3t0,2,2,0,3,0,VA,2021,26,Chesterfield County,2001.09,3826.51,1287.43,576.13,873.96,856.51,2741.03,0,-100,-833.33,31.9,11229.34,134752.07,169.37
a2i2p0s2t1,2,2,0,2,1,VA,2021,26,Chesterfield County,2001.09,3283.31,1308.98,576.13,894.4,806.39,2435.35,0,-100,-833.33,29.47,10372.32,124467.85,160.87
a2i2p0s1t2,2,2,0,1,2,VA,2021,26,Chesterfield County,2001.09,2740.11,1330.52,576.13,914.84,756.27,2129.67,0,-100,-833.33,27.03,9515.3,114183.62,152.36
a2i2p0s0t3,2,2,0,0,3,VA,2021,26,Chesterfield County,2001.09,2196.91,1352.06,576.13,935.28,706.15,1849.14,0,-100,-833.33,24.67,8683.42,104201.09,143.68
a2i1p4s0t0,2,1,4,0,0,VA,2021,26,Chesterfield County,2001.09,5150.57,1097.96,576.13,796.03,962.18,3379.88,0,-100,-833.33,37.02,13030.51,156366.15,190.14
a2i1p3s1t0,2,1,3,1,0,VA,2021,26,Chesterfield County,2001.09,4680.74,1163.11,576.13,818.21,923.93,3148.49,0,-100,-833.33,35.17,12378.38,148540.52,180.78
a2i1p3s0t1,2,1,3,0,1,VA,2021,26,Chesterfield County,2001.09,4137.54,1184.66,576.13,838.65,873.81,2842.81,0,-100,-833.33,32.73,11521.36,138256.29,172.27
a2i1p2s2t0,2,1,2,2,0,VA,2021,26,Chesterfield County,2001.09,4210.91,1228.26,576.13,840.4,885.68,2917.1,0,-100,-833.33,33.31,11726.24,140714.89,174.3
a2i1p2s1t1,2,1,2,1,1,VA,2021,26,Chesterfield County,2001.09,3667.71,1249.8,576.13,860.84,835.56,2611.42,0,-100,-833.33,30.88,10869.22,130430.67,165.8
a2i1p2s0t2,2,1,2,0,2,VA,2021,26,Chesterfield County,2001.09,3124.51,1271.35,576.13,881.27,785.44,2305.75,0,-100,-833.33,28.44,10012.2,120146.44,157.29
a2i1p1s3t0,2,1,1,3,0,VA,2021,26,Chesterfield County,2001.09,3741.09,1293.41,576.13,862.58,847.43,2685.71,0,-100,-833.33,31.46,11074.1,132889.26,167.83
a2i1p1s2t1,2,1,1,2,1,VA,2021,26,Chesterfield County,2001.09,3197.88,1314.95,576.13,883.02,797.31,2380.03,0,-100,-833.33,29.03,10217.09,122605.04,159.33
a2i1p1s1t2,2,1,1,1,2,VA,2021,26,Chesterfield County,2001.09,2654.68,1336.5,576.13,903.46,747.19,2074.36,0,-100,-833.33,26.59,9360.07,112320.81,150.82
a2i1p1s0t3,2,1,1,0,3,VA,2021,26,Chesterfield County,2001.09,2111.48,1358.04,576.13,923.89,697.06,1814.63,0,-100,-833.33,24.29,8549,102587.99,142
a2i1p0s4t0,2,1,0,4,0,VA,2021,26,Chesterfield County,2001.09,3271.26,1358.56,576.13,884.76,809.18,2454.32,0,-100,-833.33,29.61,10421.97,125063.63,161.36
a2i1p0s3t1,2,1,0,3,1,VA,2021,26,Chesterfield County,2001.09,2728.06,1380.1,576.13,905.2,759.06,2148.65,0,-100,-833.33,27.17,9564.95,114779.41,152.85
a2i1p0s2t2,2,1,0,2,2,VA,2021,26,Chesterfield County,2001.09,2184.86,1401.64,576.13,925.64,708.94,1861.45,0,-100,-833.33,24.79,8726.42,104717.01,144.22
a2i1p0s1t3,2,1,0,1,3,VA,2021,26,Chesterfield County,2001.09,1641.66,1423.19,576.13,946.08,658.81,1670.66,0,-100,-833.33,22.68,7984.28,95811.37,134.94
a2i1p0s0t4,2,1,0,0,4,VA,2021,26,Chesterfield County,2001.09,1098.45,1444.73,576.13,966.52,608.69,1479.86,0,-100,-833.33,20.57,7242.14,86905.73,108.82
a2i0p5s0t0,2,0,5,0,0,VA,2021,26,Chesterfield County,2001.09,5065.14,1103.94,576.13,784.65,953.1,3324.56,0,-100,-833.33,36.58,12875.28,154503.34,187.56
a2i0p4s1t0,2,0,4,1,0,VA,2021,26,Chesterfield County,2001.09,4595.31,1169.09,576.13,806.83,914.85,3093.17,0,-100,-833.33,34.72,12223.14,146677.71,179.24
a2i0p4s0t1,2,0,4,0,1,VA,2021,26,Chesterfield County,2001.09,4052.11,1190.63,576.13,827.27,864.72,2787.5,0,-100,-833.33,32.29,11366.12,136393.49,170.73
a2i0p3s2t0,2,0,3,2,0,VA,2021,26,Chesterfield County,2001.09,4125.49,1234.23,576.13,829.02,876.6,2861.78,0,-100,-833.33,32.87,11571.01,138852.08,172.76
a2i0p3s1t1,2,0,3,1,1,VA,2021,26,Chesterfield County,2001.09,3582.29,1255.78,576.13,849.45,826.47,2556.11,0,-100,-833.33,30.44,10713.99,128567.86,164.26
a2i0p3s0t2,2,0,3,0,2,VA,2021,26,Chesterfield County,2001.09,3039.08,1277.32,576.13,869.89,776.35,2250.43,0,-100,-833.33,28,9856.97,118283.63,155.75
a2i0p2s3t0,2,0,2,3,0,VA,2021,26,Chesterfield County,2001.09,3655.66,1299.38,576.13,851.2,838.35,2630.4,0,-100,-833.33,31.02,10918.87,131026.45,166.29
a2i0p2s2t1,2,0,2,2,1,VA,2021,26,Chesterfield County,2001.09,3112.46,1320.93,576.13,871.64,788.22,2324.72,0,-100,-833.33,28.58,10061.85,120742.23,157.78
a2i0p2s1t2,2,0,2,1,2,VA,2021,26,Chesterfield County,2001.09,2569.26,1342.47,576.13,892.07,738.1,2019.04,0,-100,-833.33,26.15,9204.83,110458.01,149.28
a2i0p2s0t3,2,0,2,0,3,VA,2021,26,Chesterfield County,2001.09,2026.06,1364.01,576.13,912.51,687.98,1780.12,0,-100,-833.33,23.91,8414.57,100974.88,140.32
a2i0p1s4t0,2,0,1,4,0,VA,2021,26,Chesterfield County,2001.09,3185.83,1364.53,576.13,873.38,800.1,2399.01,0,-100,-833.33,29.17,10266.74,123200.82,159.82
a2i0p1s3t1,2,0,1,3,1,VA,2021,26,Chesterfield County,2001.09,2642.63,1386.07,576.13,893.82,749.97,2093.33,0,-100,-833.33,26.73,9409.72,112916.6,151.31
a2i0p1s2t2,2,0,1,2,2,VA,2021,26,Chesterfield County,2001.09,2099.43,1407.62,576.13,914.26,699.85,1826.95,0,-100,-833.33,24.41,8591.99,103103.91,142.54
a2i0p1s1t3,2,0,1,1,3,VA,2021,26,Chesterfield County,2001.09,1556.23,1429.16,576.13,934.7,649.73,1636.15,0,-100,-833.33,22.3,7849.86,94198.27,133.26
a2i0p1s0t4,2,0,1,0,4,VA,2021,26,Chesterfield County,2001.09,1013.03,1450.7,576.13,955.13,599.61,1445.35,0,-100,-833.33,20.19,7107.72,85292.63,107.37
a2i0p0s5t0,2,0,0,5,0,VA,2021,26,Chesterfield County,2001.09,2716,1429.68,576.13,895.56,761.85,2167.62,0,-100,-833.33,27.31,9614.6,115375.19,153.35
a2i0p0s4t1,2,0,0,4,1,VA,2021,26,Chesterfield County,2001.09,2172.8,1451.22,576.13,916,711.72,1873.77,0,-100,-833.33,24.91,8769.41,105232.93,144.76
a2i0p0s3t2,2,0,0,3,2,VA,2021,26,Chesterfield County,2001.09,1629.6,1472.76,576.13,936.44,661.6,1682.98,0,-100,-833.33,22.8,8027.27,96327.29,135.48
a2i0p0s2t3,2,0,0,2,3,VA,2021,26,Chesterfield County,2001.09,1086.4,1494.31,576.13,956.88,611.48,1492.18,0,-100,-833.33,20.7,7285.14,87421.65,109.29
a2i0p0s1t4,2,0,0,1,4,VA,2021,26,Chesterfield County,2001.09,543.2,1515.85,576.13,977.32,561.36,1301.38,0,-100,-833.33,18.59,6543,78516.01,101.25
a2i0p0s0t5,2,0,0,0,5,VA,2021,26,Chesterfield County,2001.09,0,1537.4,567.68,997.75,510.39,1179.95,0,0,-833.33,16.93,5960.93,71531.17,92.08
a2i6p0s0t0,2,6,0,0,0,VA,2021,26,Chesterfield County,2001.09,6590.73,1202.81,576.13,871.09,1124.19,4276.43,0,-100,-1000,44.15,15542.47,186509.68,243.91
a2i5p1s0t0,2,5,1,0,0,VA,2021,26,Chesterfield County,2001.09,6505.3,1208.79,576.13,859.71,1115.1,4221.11,0,-100,-1000,43.71,15387.24,184646.87,241.24
a2i5p0s1t0,2,5,0,1,0,VA,2021,26,Chesterfield County,2001.09,6035.47,1273.93,576.13,881.89,1076.85,3989.73,0,-100,-1000,41.86,14735.1,176821.24,229.52
a2i5p0s0t1,2,5,0,0,1,VA,2021,26,Chesterfield County,2001.09,5492.27,1295.48,576.13,902.33,1026.73,3684.05,0,-100,-1000,39.43,13878.08,166537.02,208.66
a2i4p2s0t0,2,4,2,0,0,VA,2021,26,Chesterfield County,2001.09,6419.88,1214.76,576.13,848.33,1106.02,4165.8,0,-100,-1000,43.27,15232.01,182784.06,238.57
a2i4p1s1t0,2,4,1,1,0,VA,2021,26,Chesterfield County,2001.09,5950.05,1279.91,576.13,870.51,1067.77,3934.41,0,-100,-1000,41.42,14579.87,174958.43,221.9
a2i4p1s0t1,2,4,1,0,1,VA,2021,26,Chesterfield County,2001.09,5406.85,1301.45,576.13,890.95,1017.65,3628.73,0,-100,-1000,38.99,13722.85,164674.21,206.07
a2i4p0s2t0,2,4,0,2,0,VA,2021,26,Chesterfield County,2001.09,5480.22,1345.06,576.13,892.69,1029.52,3703.02,0,-100,-1000,39.57,13927.73,167132.8,209.48
a2i4p0s1t1,2,4,0,1,1,VA,2021,26,Chesterfield County,2001.09,4937.02,1366.6,576.13,913.13,979.4,3397.34,0,-100,-1000,37.13,13070.72,156848.58,195.22
a2i4p0s0t2,2,4,0,0,2,VA,2021,26,Chesterfield County,2001.09,4393.82,1388.14,576.13,933.57,929.28,3091.66,0,-100,-1000,34.7,12213.7,146564.36,183.55
a2i3p3s0t0,2,3,3,0,0,VA,2021,26,Chesterfield County,2001.09,6334.45,1220.73,576.13,836.95,1096.94,4110.48,0,-100,-1000,42.83,15076.77,180921.25,235.91
a2i3p2s1t0,2,3,2,1,0,VA,2021,26,Chesterfield County,2001.09,5864.62,1285.88,576.13,859.13,1058.69,3879.09,0,-100,-1000,40.98,14424.64,173095.62,217.75
a2i3p2s0t1,2,3,2,0,1,VA,2021,26,Chesterfield County,2001.09,5321.42,1307.43,576.13,879.57,1008.56,3573.41,0,-100,-1000,38.54,13567.62,162811.4,203.49
a2i3p1s2t0,2,3,1,2,0,VA,2021,26,Chesterfield County,2001.09,5394.79,1351.03,576.13,881.31,1020.44,3647.7,0,-100,-1000,39.13,13772.5,165270,206.9
a2i3p1s1t1,2,3,1,1,1,VA,2021,26,Chesterfield County,2001.09,4851.59,1372.57,576.13,901.75,970.31,3342.03,0,-100,-1000,36.69,12915.48,154985.77,192.64
a2i3p1s0t2,2,3,1,0,2,VA,2021,26,Chesterfield County,2001.09,4308.39,1394.12,576.13,922.19,920.19,3036.35,0,-100,-1000,34.26,12058.46,144701.55,182.01
a2i3p0s3t0,2,3,0,3,0,VA,2021,26,Chesterfield County,2001.09,4924.97,1416.18,576.13,903.5,982.19,3416.32,0,-100,-1000,37.27,13120.36,157444.37,196.05
a2i3p0s2t1,2,3,0,2,1,VA,2021,26,Chesterfield County,2001.09,4381.77,1437.72,576.13,923.93,932.06,3110.64,0,-100,-1000,34.84,12263.35,147160.14,184.04
a2i3p0s1t2,2,3,0,1,2,VA,2021,26,Chesterfield County,2001.09,3838.56,1459.26,576.13,944.37,881.94,2804.96,0,-100,-1000,32.4,11406.33,136875.92,175.54
a2i3p0s0t3,2,3,0,0,3,VA,2021,26,Chesterfield County,2001.09,3295.36,1480.81,576.13,964.81,831.82,2499.28,0,-100,-1000,29.97,10549.31,126591.7,167.03
a2i2p4s0t0,2,2,4,0,0,VA,2021,26,Chesterfield County,2001.09,6249.02,1226.71,576.13,825.57,1087.85,4055.16,0,-100,-1000,42.39,14921.54,179058.44,233.24
a2i2p3s1t0,2,2,3,1,0,VA,2021,26,Chesterfield County,2001.09,5779.2,1291.86,576.13,847.75,1049.6,3823.78,0,-100,-1000,40.54,14269.4,171232.82,215.17
a2i2p3s0t1,2,2,3,0,1,VA,2021,26,Chesterfield County,2001.09,5235.99,1313.4,576.13,868.19,999.48,3518.1,0,-100,-1000,38.1,13412.38,160948.59,200.91
a2i2p2s2t0,2,2,2,2,0,VA,2021,26,Chesterfield County,2001.09,5309.37,1357,576.13,869.93,1011.35,3592.39,0,-100,-1000,38.69,13617.27,163407.19,204.32
