,PID,Prop Type,Status,Area,Address,Subdivision,Type,# Bedrooms,Total Baths,# Rooms,Fin SF,List Price,Sales Price,Days On Market,Sales Date,Zip,MLS
1515730,S0090538003,Single Family,CLOSD,50,2702 Walmsley BLVD,Grindall Creek Park,Detached,4,1,6,"1,048","$18,000 ","$18,000 ",35,7/30/2015,23234,CVR
1933410,S009-0538-004,Single Family,CLOSD,50,2704 Walmsley BLVD,Grindall Creek Park,Detached,4,1,7,"1,048","$99,950 ","$105,000 ",2,10/28/2019,23234,CVR
2208743,S009-0538-002,Single Family,CLOSD,50,2700 Walmsley BLVD,Oak Crest,Detached,4,1.1,7,"1,152","$149,950 ","$149,950 ",6,8/4/2022,23234,CVR
1634003,C008-0427-055,Single Family,CLOSD,50,2808 Grindall,Stephens Glen,Detached,3,2,6,"1,293","$154,630 ","$154,630 ",35,2/21/2017,23234,CVR
1130911,789-692-32-02-00000,Single Family,CLOSD,52,4905 Oriole AVE,Grindall Creek Park,Detached,3,1,6,792,"$21,000 ","$25,000 ",12,2/22/2012,23234,CVR
1208504,789-692-29-07-00000,Single Family,CLOSD,52,4903 Oriole AVE,Grindall Creek Park,Detached,3,1,6,"1,028","$28,500 ","$35,000 ",24,5/15/2012,23234,CVR
1329006,787-689-81-72-00000,Single Family,CLOSD,52,3000 Goolsby AVE,None,Detached,2,1,5,937,"$29,000 ","$38,500 ",15,12/6/2013,23234,CVR
1216476,792-676-37-26-00000,Single Family,CLOSD,52,2516 Gettings LN,Bellwood Addition,Detached,2,1,4,782,"$29,700 ","$32,000 ",44,9/7/2012,23237,CVR
1639851,789-69-13-59-700-000,Single Family,CLOSD,52,4907 Oriole AVE,Grindall Creek Park,Detached,3,1,6,"1,188","$29,900 ","$35,000 ",43,4/26/2017,23234,CVR
1132060,786-689-31-06-00092,Condo/Town,CLOSD,52,5228 Castlewood RD Unit#C,Tree Top Condominium,Condominium,2,1,4,860,"$29,900 ","$30,000 ",30,2/6/2012,23234,CVR
1730655,798-65-92-35-300-000,Single Family,CLOSD,52,2458 Osborne RD,Normandale Terrace,Detached,2,1,4,704,"$30,000 ","$42,000 ",20,9/25/2017,23831,CVR
1131526,788-683-68-45-00000,Single Family,CLOSD,52,2907 Sherbourne RD,Sherbourne Heights,Detached,3,2,6,"1,050","$30,000 ","$41,000 ",6,1/20/2012,23237,CVR
1223665,786-689-31-06-00092,Condo/Town,CLOSD,52,5228 Castlewood RD Unit#F,Tree Top Condominium,Condominium,2,1,4,860,"$31,000 ","$31,000 ",27,11/2/2012,23234,CVR
1512428,792-671-58-26-00000,Single Family,CLOSD,52,9101 Oak Lawn ST,Crescent Park,Detached,2,1,4,984,"$31,500 ","$35,500 ",14,6/8/2015,23237,CVR
1307172,786-689-31-06-00032,Condo/Town,CLOSD,52,5206 Castlewood RD Unit#B,Tree Top Condominium,Condominium,2,1,4,873,"$34,000 ","$34,000 ",10,4/29/2013,23234,CVR
1317058,788-682-12-76-00000,Single Family,CLOSD,52,6801 Strathmore RD,Sherbourne Heights,Detached,4,1.1,6,"1,245","$34,000 ","$35,110 ",34,9/4/2013,23237,CVR
1314271,790-684-34-55-00000,Single Family,CLOSD,52,6401 St George ST,Bensley,Detached,3,1,6,"1,320","$34,900 ","$34,000 ",17,7/15/2013,23234,CVR
1219137,793-666-61-96-00000,Single Family,CLOSD,52,2806 General BLVD,Central Park,Detached,3,1,6,"1,056","$34,900 ","$34,000 ",48,9/27/2012,23237,CVR
1524646,786-689-31-06-00009,Condo/Town,CLOSD,52,5218 Castlewood RD Unit#C,Treetop,Condominium,2,1,4,860,"$35,000 ","$35,000 ",0,9/15/2015,23234,CVR
1308683,786-689-31-06-00007,Condo/Town,CLOSD,52,5218 Castlewood RD Unit#A,Tree Top Condominium,Condominium,2,1.1,4,860,"$35,700 ","$35,700 ",41,6/4/2013,23234,CVR
1130297,792-671-43-60-00000,Single Family,CLOSD,52,8917 Oak Lawn ST,Crescent Park,Detached,3,1,5,"1,375","$36,400 ","$28,000 ",20,2/13/2012,23237,CVR
1426896,786-689-31-06-00047,Condo/Town,CLOSD,52,5210 Castlewood RD Unit#C,Tree Top Condominium,Condominium,2,1,4,861,"$36,500 ","$39,700 ",7,10/20/2014,23234,CVR
1407853,789-691-02-94-00000,Single Family,CLOSD,52,2704 Addington AVE,Grindall Creek Park,Detached,2,1,6,924,"$37,500 ","$50,500 ",15,5/7/2014,23234,CVR
1229949,787-690-72-90-00000,Single Family,CLOSD,52,5014 Douglas AVE,Falling Creek,Detached,2,1,7,"1,152","$39,000 ","$32,000 ",15,1/24/2013,23234,CVR
1221415,786-689-31-06-00040,Condo/Town,CLOSD,52,5208 Castlewood RD Unit#D,Tree Top Condominium,Condominium,2,1,4,861,"$39,500 ","$35,700 ",114,1/9/2013,23234,CVR
1524854,793-668-63-36-00000,Single Family,CLOSD,52,2626 Perlock RD,Quail Oaks,Detached,3,1,5,"1,038","$39,900 ","$44,000 ",16,10/30/2015,23237,CVR
1224651,786-689-31-06-00028,Condo/Town,CLOSD,52,5204 Castlewood RD Unit#D,Tree Top Condominium,Condominium,2,1,4,859,"$41,500 ","$41,000 ",17,11/13/2012,23234,CVR
1302148,793-667-31-94-00000,Single Family,CLOSD,52,2721 Perlock RD,Quail Oaks,Detached,3,1,6,"1,032","$42,500 ","$42,000 ",21,2/27/2013,23237,CVR
1532002,793-668-16-67-00000,Single Family,CLOSD,52,2700 Galena AVE,Quail Oaks,Detached,3,1,6,"1,278","$43,400 ","$40,000 ",15,2/1/2016,23237,CVR
1734045,796-66-52-83-200-000,Single Family,CLOSD,52,10355 Ramona AVE,Halfway House Heights,Detached,3,1,6,"1,350","$44,900 ","$50,000 ",11,10/12/2017,23237,CVR
1218722,789-690-23-89-00000,Single Family,CLOSD,52,2704 FALLING CREEK AVE,Falling Creek,Detached,4,1.1,9,"2,176","$44,900 ","$48,000 ",38,10/2/2012,23234,CVR
1202349,791-671-94-25-00000,Single Family,CLOSD,52,8920 Lawndale ST,Crescent Park,Detached,3,2,5,"1,176","$44,900 ","$41,500 ",41,3/29/2012,23237,CVR
1124299,785-690-87-13-00000,Single Family,CLOSD,52,3306 Shady Creek RD,Shady Creek,Detached,4,2,7,"1,688","$44,900 ","$44,000 ",101,1/6/2012,23234,CVR
1630958,789-69-13-33-500-000,Single Family,CLOSD,52,5004 Oriole AVE,Falling Creek Court,Detached,2,1,5,922,"$45,000 ","$44,000 ",63,12/8/2016,23234,CVR
1627830,789-69-11-13-400-000,Single Family,CLOSD,52,5005 Huband AVE,Redfords,Detached,2,1,4,972,"$45,000 ","$45,000 ",6,9/9/2016,23234,CVR
1228256,793-666-37-75-00000,Single Family,CLOSD,52,2819 - 2821 General BLVD,Central Park,Detached,3,1.1,6,"1,256","$45,000 ","$46,200 ",16,1/10/2013,23237,CVR
1601722,794-665-13-50-00000,Single Family,CLOSD,52,10210 Brightwood AVE,Central Park,Detached,3,1,6,"1,287","$46,000 ","$19,000 ",24,4/7/2016,23237,CVR
1740638,788-69-26-73-700-000,Single Family,CLOSD,52,4811 Castlewood RD,Grindall Creek Park,Detached,3,1,5,758,"$48,615 ","$65,100 ",19,1/5/2018,23234,CVR
1704577,794-66-50-91-400-000,Single Family,CLOSD,52,10242 Brightwood AVE,Central Park,Detached,3,2,9,"1,225","$49,500 ","$60,000 ",15,3/22/2017,23237,CVR
1417128,789-689-48-25-00000,Single Family,CLOSD,52,2724 Cogbill RD,Dupont Square,Detached,2,2,7,"1,445","$49,500 ","$48,000 ",11,9/12/2014,23234,CVR
1532252,798-659-23-33-00000,Single Family,CLOSD,52,2459 Osborne RD,Dutch Gap Villa Sites,Detached,2,1,4,672,"$49,900 ","$45,000 ",6,12/30/2015,23831,CVR
1324039,788-689-53-46-00000,Single Family,CLOSD,52,2836 BRAMPTON WAY,Dupont Square,Detached,3,1,8,"2,027","$49,900 ","$48,100 ",270,6/17/2014,23234,CVR
1301504,787-690-93-90-00000,Single Family,CLOSD,52,5015 DOUGLAS AVE,Falling Creek,Detached,3,1,7,768,"$49,900 ","$43,000 ",14,4/16/2013,23234,CVR
1125292,791-667-45-16-00000,Single Family,CLOSD,52,3007 Perlock RD,Quail Oaks,Detached,3,1.1,7,"1,404","$49,900 ","$42,500 ",136,2/17/2012,23237,CVR
1732621,786-68-93-10-600-003,Condo/Town,CLOSD,52,5216 Castlewood RD Unit#C,Tree Top Condominium,Condominium,2,1,4,860,"$50,000 ","$50,000 ",32,12/27/2017,23234,CVR
1518874,790-684-34-55-00000,Single Family,CLOSD,52,6401 St George ST,Bensley,Detached,3,1,6,"1,320","$50,000 ","$38,000 ",82,10/16/2015,23234,CVR
1516426,793-666-41-93-00000,Single Family,CLOSD,52,2818 General BLVD,Central Park,Detached,3,2.1,7,"1,287","$50,000 ","$60,000 ",4,6/18/2015,23237,CVR
1402755,790-683-72-44-00000,Single Family,CLOSD,52,2600 Sherbourne RD,Bensley,Detached,0,0,0,"1,217","$50,000 ","$43,500 ",8,3/10/2014,23237,CVR
1203461,786-689-31-06-00030,Condo/Town,CLOSD,52,5204 Castlewood RD Unit#F,Tree Top,Condominium,2,1,4,859,"$50,000 ","$50,000 ",28,4/17/2012,23234,CVR
1330524,786-689-31-06-00074,Condo/Town,CLOSD,52,5222 Castlewood RD Unit#E,Tree Top,Condominium,2,1,4,859,"$51,000 ","$45,000 ",7,1/22/2014,23234,CVR
1222017,786 689 31 06 00035,Condo/Town,CLOSD,52,5206 Castlewood Rd Unit#E,Tree Top Condominium,Condominium,2,1,4,859,"$52,000 ","$32,000 ",99,1/22/2013,23234,CVR
1227715,787-689-55-50-00000,Single Family,CLOSD,52,3019 Goolsby AVE,Dupont Square,Detached,2,1,6,"1,035","$52,200 ","$40,000 ",2,12/13/2012,23234,CVR
1407385,790-677-48-36-00000,Single Family,CLOSD,52,2811 Botone AVE,Rayon Park,Detached,4,1,6,"1,196","$52,900 ","$49,900 ",23,4/29/2014,23237,CVR
1325440,791-679-86-73-00000,Single Family,CLOSD,52,2551 Elliham AVE,Patterson Park,Detached,3,3,8,"1,905","$52,900 ","$55,000 ",12,10/24/2013,23237,CVR
1401280,792-665-98-81-00000,Single Family,CLOSD,52,10101 S General BLVD,Central Park,Detached,3,1,5,"1,052","$54,900 ","$54,000 ",70,4/21/2014,23237,CVR
1723483,786-68-93-10-600-037,Condo/Town,CLOSD,52,5208 Castlewood RD Unit#A,Treetop,Condominium,2,1,4,861,"$54,950 ","$51,000 ",33,9/28/2018,23234,CVR
1512302,786-689-31-06-00085,Condo/Town,CLOSD,52,5226 Castlewood RD Unit#D,Tree Top Condominium,Condominium,2,1,4,856,"$54,950 ","$50,000 ",9,5/29/2015,23234,CVR
1506947,791-680-89-99-00000,Single Family,CLOSD,52,2538 Gwynn AVE,Patterson Park,Detached,3,1,5,988,"$54,950 ","$50,000 ",4,4/20/2015,23237,CVR
1600019,786-689-31-06-00030,Condo/Town,CLOSD,52,5204 Castlewood RD Unit#F,Tree Top Condominium,Condominium,2,1,4,859,"$55,000 ","$50,000 ",8,2/1/2016,23234,CVR
1502885,786-689-31-06-00010,Condo/Town,CLOSD,52,5218 Castlewood RD Unit#D,Tree Top Condominium,Condominium,2,1,4,860,"$55,000 ","$52,000 ",73,5/27/2015,23234,CVR
1218973,798-660-96-23-00000,Single Family,CLOSD,52,2332 Coxendale RD,Normandale Terrace,Detached,3,1,5,960,"$55,000 ","$55,000 ",20,9/25/2012,23831,CVR
1214343,788-682-68-91-00000,Single Family,CLOSD,52,6800 Wentworth ST,Sherbourne Heights,Detached,4,2,9,"1,511","$55,200 ","$40,500 ",74,9/13/2012,23237,CVR
1403715,790-684-06-56-00000,Single Family,CLOSD,52,2713 Parkdale RD,Bensley,Detached,3,1,7,"1,246","$55,900 ","$49,000 ",91,5/23/2014,23234,CVR
1628209,786-68-93-10-600-105,Condo/Town,CLOSD,52,5232 Castlewood RD Unit#C,Treetop,Condominium,2,1,4,862,"$56,000 ","$56,000 ",51,11/3/2016,23234,CVR
1525149,794-667-89-57-00000,Single Family,CLOSD,52,2501 Reymet RD,James Friend Prop,Detached,4,2,6,"1,568","$56,300 ","$55,000 ",80,12/14/2015,23237,CVR
1600319,789-691-35-11-00000,Single Family,CLOSD,52,5014 Oriole AVE,Falling Creek,Detached,3,1,5,"1,132","$57,500 ","$53,000 ",98,4/26/2016,23234,CVR
1715856,786-68-93-10-600-021,Condo/Town,CLOSD,52,5202 Castlewood RD Unit#C,Tree Top Condominium,Condominium,2,1,4,859,"$58,000 ","$56,500 ",24,6/19/2017,23234,CVR
1509495,788-689-73-48-00000,Single Family,CLOSD,52,2820 Brampton WAY,Dupont Square,Detached,3,1,5,886,"$58,401 ","$42,100 ",22,5/15/2015,23234,CVR
1312333,788-683-54-47-00000,Single Family,CLOSD,52,2919 Sherbourne RD,Sherbourne Heights,Detached,3,1.1,6,"1,133","$59,000 ","$59,000 ",26,6/25/2013,23237,CVR
1423903,792-667-15-67-00000,Single Family,CLOSD,52,2912 Perlock RD,Quail Oaks,Detached,3,1,5,"1,040","$59,900 ","$59,900 ",54,11/10/2014,23237,CVR
1129224,785-693-79-54-00000,Single Family,CLOSD,52,4600 Banton ST,None,Detached,3,2,7,"2,132","$59,900 ","$30,500 ",68,1/31/2012,23234,CVR
1726014,799-66-07-78-600-000,Single Family,CLOSD,52,2108 Fortview DR,Coxendale,Detached,3,1.1,6,"1,040","$59,950 ","$80,000 ",5,9/15/2017,23831,CVR
1300874,792-669-84-38-00000,Single Family,CLOSD,52,2726 Kingsdale RD,None,Detached,3,1.1,5,"1,511","$59,950 ","$59,950 ",104,5/3/2013,23237,CVR
1739699,786-68-93-10-600-054,Condo/Town,CLOSD,52,5212 Castlewood RD Unit#D,Tree Top Condominium,Condominium,2,1,4,857,"$59,995 ","$51,500 ",4,12/20/2017,23234,CVR
2030892,786-68-93-10-600-037,Condo/Town,CLOSD,52,5208 Castlewood RD Unit#A,Tree Top Condominium,Condominium,2,1,4,861,"$60,000 ","$60,000 ",6,10/30/2019,23234,CVR
1829033,793-66-61-53-200-000,Single Family,CLOSD,52,10017 Beaumont AVE,Central Park,Detached,2,1,7,"1,148","$60,000 ","$68,500 ",4,9/7/2018,23237,CVR
1612464,792-67-65-23-100-000,Single Family,CLOSD,52,2512 Gettings LN,Bellwood Addition,Detached,4,1,8,"1,256","$60,000 ","$61,890 ",4,5/31/2016,23237,CVR
1424153,788-691-19-66-00000,Single Family,CLOSD,52,4905 Castlewood RD,Grindall Creek Park,Detached,2,1,5,974,"$60,000 ","$60,000 ",6,10/15/2014,23234,CVR
1412817,792-676-82-59-00000,Single Family,CLOSD,52,2507 Dwight AVE,Bellwood Addition,Detached,3,1,6,"1,072","$60,000 ","$56,500 ",35,7/18/2014,23237,CVR
1400281,794-666-15-84-0000,Single Family,CLOSD,52,2701 General Blvd,Central Park,Detached,3,1,6,933,"$60,000 ","$60,000 ",18,2/24/2014,23237,CVR
1314933,785-692-81-42-00000,Single Family,CLOSD,52,4821 Banton ST,Falling Creek Court,Detached,3,2,5,"1,080","$60,000 ","$60,055 ",37,9/18/2013,23234,CVR
1303956,798-660-18-48-00000,Single Family,CLOSD,52,2343 Seminole AVE,Normandale Terrace,Detached,3,1.1,5,"1,149","$60,000 ","$65,949 ",8,5/24/2013,23831,CVR
1129827,796-664-68-35-00000,Single Family,CLOSD,52,10517 Ramona AVE,Belmeade,Detached,3,2,6,"1,020","$60,000 ","$50,000 ",92,4/17/2012,23237,CVR
1322470,788-682-39-66-00000,Single Family,CLOSD,52,2913 Brentwood CIR,None,Detached,4,1,9,"1,583","$61,000 ","$50,000 ",64,11/25/2013,23237,CVR
1225530,786-692-20-98-00000,Single Family,CLOSD,52,4708 Willesden RD,Falling Creek Court,Detached,3,1,6,"1,331","$61,025 ","$63,100 ",20,12/5/2012,23234,CVR
1900759,786-68-93-10-600-018,Condo/Town,CLOSD,52,5200 Castlewood RD Unit#F,Tree Top Condominium,Condominium,2,1,4,861,"$62,000 ","$62,000 ",130,9/17/2019,23234,CVR
1908381,786-68-93-10-600-017,Condo/Town,CLOSD,52,5200 Castlewood RD Unit#E,Tree Top Condominium,Condominium,2,1,4,861,"$62,500 ","$61,000 ",3,4/22/2019,23234,CVR
1429918,789-690-76-60-00000,Single Family,CLOSD,52,2611 Falling Creek AVE,Falling Creek,Detached,3,2,7,"1,800","$62,900 ","$57,999 ",0,11/7/2014,23234,CVR
1401197,787-684-95-21-00000,Single Family,CLOSD,52,3013 Dundas RD,Wentworth Home Sites,Detached,3,1,7,"1,250","$63,000 ","$60,000 ",60,4/29/2014,23237,CVR
1213972,789-686-54-54-00000,Single Family,CLOSD,52,6007 Hudswell LN,Falling Creek Hills,Detached,3,2,6,"1,239","$63,000 ","$61,101 ",65,9/5/2012,23234,CVR
1922548,786-68-93-10-600-107,Condo/Town,CLOSD,52,5232 Castlewood RD,Tree Top Condominium,Condominium,2,1,4,862,"$63,500 ","$63,000 ",2,7/26/2019,23234,CVR
1501723,786-689-31-06-00029,Condo/Town,CLOSD,52,5204 Castlewood RD Unit#E,Tree Top Condominium,Condominium,2,1,4,859,"$63,950 ","$52,000 ",75,5/11/2015,23234,CVR
1603168,786-689-31-06-00075,Condo/Town,CLOSD,52,5222 Castlewood RD Unit#F,Tree Top Condominium,Condominium,3,1.1,5,"1,055","$64,000 ","$56,000 ",28,4/4/2016,23234,CVR
1524041,786-689-31-06-00071,Condo/Town,CLOSD,52,5222 Castlewood RD Unit#B,Tree Top Condominium,Condominium,3,1.1,5,"1,055","$64,000 ","$62,500 ",164,4/29/2016,23234,CVR
1226749,788-682-41-59-00000,Single Family,CLOSD,52,2907 Brentwood CIR,Sherbourne Heights,Detached,3,1.1,7,"1,413","$64,900 ","$64,500 ",119,4/5/2013,23237,CVR
1225325,788-683-48-33-00000,Single Family,CLOSD,52,2960 Brentwood CIR,Sherbourne Heights,Detached,3,1,5,"1,056","$64,900 ","$62,000 ",40,11/30/2012,23237,CVR
1207406,788-682-93-76-00000,Single Family,CLOSD,52,6813 Wentworth ST,Glen Conner,Detached,3,1,5,"1,144","$64,900 ","$60,000 ",99,7/6/2012,23237,CVR
1205450,786-673-92-16-00000,Single Family,CLOSD,52,8408 Firethorne LN,Kingsland Acres,Detached,3,1,5,"1,008","$64,900 ","$69,785 ",21,4/27/2012,23237,CVR
1921544,786-68-93-10-600-039,Condo/Town,CLOSD,52,5208 Castlewood RD Unit#C,Tree Top Condominium,Condominium,2,1,4,861,"$64,950 ","$65,500 ",3,8/2/2019,23234,CVR
1627699,786-68-93-10-600-068,Condo/Town,CLOSD,52,5220 Castlewood RD Unit#F,Tree Top Condominium,Condominium,2,1,6,859,"$64,950 ","$61,000 ",11,9/30/2016,23234,CVR
1306746,786-689-31-06-00053,Condo/Town,CLOSD,52,5212 Castlewood RD Unit#C,Tree Top Condominium,Condominium,2,1,4,857,"$64,950 ","$59,900 ","1,254",10/21/2016,23234,CVR
2211363,790-67-75-72-400-000,Single Family,CLOSD,52,2806 Congress RD,Rayon Park,Detached,2,1,5,"1,024","$65,000 ","$117,000 ",5,7/13/2022,23237,CVR
2122009,786-68-93-10-600-025,Condo/Town,CLOSD,52,5204 Castlewood RD Unit#A,Tree Top,Condominium,2,1,4,859,"$65,000 ","$65,000 ",2,8/27/2021,23234,CVR
1938040,788-68-45-31-600-000,Single Family,CLOSD,52,2925 Dundas RD,Bensley,Detached,3,1.1,6,"1,404","$65,000 ","$65,000 ",0,2/28/2020,23237,CVR
1731677,786-68-93-10-600-105,Condo/Town,CLOSD,52,5232 Castlewood RD Unit#C,Tree Top Condominium,Condominium,2,1,4,862,"$65,000 ","$60,000 ",20,10/16/2017,23234,CVR
1331392,785-692-90-30-00000,Single Family,CLOSD,52,4764 Willesden RD,Falling Creek Court,Detached,3,2,5,"1,080","$65,000 ","$67,601 ",14,2/4/2014,23234,CVR
1323530,799-659-33-15-00000,Single Family,CLOSD,52,2311 Osborne RD,None,Detached,3,2,7,"1,755","$65,000 ","$50,000 ",2,9/23/2013,23831,CVR
1404832,788-682-48-21-00000,Single Family,CLOSD,52,2937 W Strathmore RD,Sherbourne Heights,Detached,4,1,6,"1,618","$65,500 ","$65,500 ",9,3/31/2014,23237,CVR
1928645,786-68-93-10-600-068,Condo/Town,CLOSD,52,5220 Castlewood RD Unit#F,Tree Top Condominium,Condominium,2,1,4,859,"$66,500 ","$67,000 ",12,10/11/2019,23234,CVR
1512784,786-689-31-06-00020,Condo/Town,CLOSD,52,5202 Castlewood RD Unit#B,Tree Top Condominium,Condominium,2,1,5,861,"$66,900 ","$52,800 ",35,7/2/2015,23234,CVR
1638231,788-68-85-49-300-000,Single Family,CLOSD,52,2841 Cogbill RD,Ranch Acres,Detached,3,2,7,"1,679","$67,000 ","$123,200 ",20,2/6/2017,23234,CVR
1604863,788-69-04-79-900-000,Single Family,CLOSD,52,5012 Caldwell AVE,Chase J H,Detached,3,1.1,5,820,"$67,500 ","$67,500 ",51,7/8/2016,23234,CVR
1221929,786-672-91-22-00000,Single Family,CLOSD,52,8606 Firethorne LN,Kingsland Acres,Detached,2,1,4,864,"$68,000 ","$68,200 ",18,9/20/2012,23237,CVR
1628199,788-69-12-87-200-000,Single Family,CLOSD,52,4903 Castlewood RD,Grindall Creek Park,Detached,2,1,5,732,"$69,000 ","$67,000 ",7,9/16/2016,23234,CVR
1507709,785-693-96-14-00000,Single Family,CLOSD,52,3025 Dulwich DR,Falling Creek Court,Detached,3,1,5,"1,116","$69,000 ","$72,500 ",14,6/22/2015,23234,CVR
1415804,786-689-31-06-00035,Condo/Town,CLOSD,52,5206 Castlewood RD Unit#E,Tree Top Condominium,Condominium,2,1,4,859,"$69,000 ","$50,999 ",46,8/5/2014,23234,CVR
1402404,792-679-78-84-00000,Single Family,CLOSD,52,2515 Elliham AVE,Patterson Park,Detached,3,1,6,"1,176","$69,000 ","$69,510 ",29,5/16/2014,23237,CVR
1533272,789-678-73-25-00000,Single Family,CLOSD,52,7610 Telbury ST,Rayon Park,Detached,4,1,6,"1,115","$69,500 ","$68,500 ",55,2/25/2016,23237,CVR
1521576,788-691-91-74-00000,Single Family,CLOSD,52,2709 Addington AVE,Grindall Creek Park,Detached,3,1,6,"1,180","$69,500 ","$62,000 ",22,9/3/2015,23234,CVR
1730919,788-69-01-36-700-000,Single Family,CLOSD,52,2904 Falling Creek AVE,Falling Creek Hills,Detached,2,1,4,664,"$69,900 ","$63,000 ",12,9/15/2017,23234,CVR
1602979,788-689-93-51-00000,Single Family,CLOSD,52,2806 Brampton WAY,Dupont Square,Detached,4,1,6,"1,318","$69,900 ","$63,000 ",52,4/8/2016,23234,CVR
1527874,787-683-74-23-00000,Single Family,CLOSD,52,6729 Strathmore RD,Sherbourne Heights,Detached,4,1,7,"1,238","$69,900 ","$64,000 ",45,12/3/2015,23237,CVR
1401445,786-671-91-51-00000,Single Family,CLOSD,52,8712 Firethorne LN,Kingsland Acres,Detached,3,1,5,960,"$69,900 ","$55,000 ",12,2/19/2014,23237,CVR
1331204,788-682-33-80-00000,Single Family,CLOSD,52,2923 Brentwood CIR,Sherbourne Heights,Detached,4,1.1,7,"1,254","$69,900 ","$63,550 ",140,5/23/2014,23237,CVR
1228612,787-684-98-80-00000,Single Family,CLOSD,52,3018 Parkdale RD,Falling Creek Hills,Detached,2,1,6,"1,170","$69,900 ","$75,751 ",14,1/24/2013,23234,CVR
1207709,786-671-91-06-00000,Single Family,CLOSD,52,8812 Firethorne LN,Kingsland Acres,Detached,3,1,6,960,"$69,900 ","$67,000 ",75,6/12/2012,23237,CVR
1201453,788-692-67-37-00000,Single Family,CLOSD,52,4811 Castlewood RD,Grindall Creek Park,Detached,2,1,5,758,"$69,900 ","$65,000 ",87,6/29/2012,23234,CVR
2011250,786-68-93-10-600-023,Condo/Town,CLOSD,52,5202 Castlewood RD Unit#E,Tree Top Condominium,Condominium,2,1,4,859,"$70,000 ","$70,000 ",2,5/15/2020,23234,CVR
1531167,791-656-32-68-00000,Single Family,CLOSD,52,11732 Old Centralia RD,Centralia Acres,Detached,3,1,6,"1,494","$70,000 ","$70,000 ",2,1/7/2016,23831,CVR
1525388,792-669-85-00-00000,Single Family,CLOSD,52,2721 Kingsdale RD,Quail Oaks,Detached,2,1,8,"1,524","$70,000 ","$70,000 ",4,9/30/2015,23237,CVR
1427267,792-679-06-74-00000,Single Family,CLOSD,52,2543 Elliham AVE,Patterson Park,Detached,2,1,4,"1,100","$70,000 ","$61,500 ",13,11/6/2014,23237,CVR
1409932,795-667-15-47-00000,Single Family,CLOSD,52,9917 Friend AVE,James Friend Prop,Detached,6,3.1,10,"2,612","$70,000 ","$62,000 ",30,5/23/2014,23237,CVR
1309473,789-686-57-47-00000,Single Family,CLOSD,52,6013 HUDSWELL LN,Falling Creek Hills,Detached,3,2,6,"1,782","$70,000 ","$55,000 ",62,7/25/2013,23234,CVR
1301387,786-689-61-56-00000,Single Family,CLOSD,52,5113 Mill Race CIR,Shady Creek,Detached,3,2,6,"1,688","$70,000 ","$65,800 ",18,2/26/2013,23234,CVR
1130681,791-668-58-40-00000,Single Family,CLOSD,52,2948 Galena AVE,Quail Oaks,Detached,3,1,7,"1,352","$70,000 ","$68,001 ",16,2/6/2012,23237,CVR
1122823,788-689-05-36-00000,Single Family,CLOSD,52,5217 Shady Lane,None,Detached,3,2,8,"1,688","$70,000 ","$50,000 ",417,1/22/2013,23234,CVR
1213454,785-692-52-94-00000,Single Family,CLOSD,52,3120 Hartwell DR,Falling Creek Court,Detached,3,1.1,6,"1,275","$71,280 ","$61,150 ",56,8/15/2012,23234,CVR
1601484,788-683-38-47-00000,Single Family,CLOSD,52,2931 Sherbourne RD,Sherbourne Heights,Detached,3,1.1,7,"1,237","$72,000 ","$63,000 ",50,3/21/2016,23237,CVR
1228474,789-685-55-15-00000,Single Family,CLOSD,52,2800 Stanwix LN,Falling Creek Hills,Detached,3,1.1,7,"1,378","$72,000 ","$75,000 ",1,3/12/2013,23234,CVR
1132029,785-693-70-11-00000,Single Family,CLOSD,52,4706 Banton ST,Falling Creek Court,Detached,3,1.1,7,"1,275","$72,000 ","$62,000 ",32,3/13/2012,23234,CVR
1504637,788-692-77-26-00000,Single Family,CLOSD,52,4802 Mccarty AVE,Grindall Creek Park,Detached,3,1,6,816,"$72,100 ","$69,000 ",35,4/13/2015,23234,CVR
2120204,786-68-93-10-600-026,Condo/Town,CLOSD,52,5204 Castlewood RD Unit#B,Tree Top,Condominium,2,1,4,859,"$72,500 ","$72,500 ",0,7/30/2021,23234,CVR
1432164,791-667-26-64-00000,Single Family,CLOSD,52,3018 Woodworth RD,Quail Oaks,Detached,3,1,5,950,"$72,500 ","$70,000 ",52,3/26/2015,23237,CVR
1526314,793-667-08-78-00000,Single Family,CLOSD,52,9709 Brandywine AVE,Quail Oaks,Detached,3,1,5,962,"$72,675 ","$39,000 ",208,5/6/2016,23237,CVR
1704148,788-68-31-00-400-000,Single Family,CLOSD,52,3041 Brentwood CIR,Sherbourne Heights,Detached,4,2,6,"1,531","$72,700 ","$73,299 ",19,3/27/2017,23237,CVR
1404011,786-689-17-93-00000,Single Family,CLOSD,52,5105 Carryback DR,Shady Creek,Detached,4,2,5,"1,425","$73,000 ","$73,050 ",21,5/3/2014,23234,CVR
1317779,790-667-86-45-00000,Single Family,CLOSD,52,9561 Ashwood RD,Quail Oaks,Detached,3,1,6,950,"$73,000 ","$73,500 ",198,2/19/2014,23237,CVR
1322503,789-689-12-01-00000,Single Family,CLOSD,52,2801 Cogbill RD,Dupont Square,Detached,3,1.1,6,"1,487","$74,000 ","$66,915 ",29,12/5/2013,23234,CVR
